Unique ID,Reviews
1,"Works well in everything EXCEPT one major bug it's always had which sometimes gets better, sometimes (currently) gets much worse: the audio only comes in part way into a paragraph. And when having it read emails out loud where someone breaks every sentence into paragraphs, you can miss half of every sentence! This thing never reads the beginning of a paragraph out loud - ever."
2,This was the best for me for a long time. But now it refuses to work at all. I have dyslexia and I HAVE to have something. So now I have to use something else. It was nice while it lasted!
3,"I tried several readers, and this is by far the best.  Hate the ""natural voices"" on all readers, which is good for this one as their default is among the few that work at 2x speed.  Until last week or so it was worth a shining 5 star review, which I had been procrastinating on.  Inexplicably, it recently started reading ""dot"" and ""comma"" which I very much do not care for and cannot find a way to remove from playback.  Would love that to go back to being short pauses, but the settings menu is lacking any such toggles."
4,"Almost perfect.  What would make it better is a natural pause between paragraphs, after bullet points, and cells in tables.  Without that natural pause (similar to when there is punctuation), the reader runs text together that don't belong together into one giant sentence.  For example, the heading of a section with the first sentence of the section, all the bullet points in a list, or all the cells in a table become one giant sentence.  To fix this, treat a new paragraph, the end of a bullet point, or a new cell in a table like punctuation, and pause. A nice to have would be a text highlighter following along with the reader. Had to come back and take away one star in March 2026 because the reader stopped reading hyperlinked texted.  It just skips that part of a sentence."
5,"Great app, but when in doubt it reads in Japanese instead of Chinese. I hope there would be a way to make the chinese the default way. For example, when asked to read this: 先生 it would read it in Japanese but when I show it this all together: 先生，您好 it would read it in Chinese."
6,Unfourtunately I could not find lovely Persian language in that so I remove it. I hope you add it for soon
7,A day or two ago it just stopped working out of no-where. I tried reinstalling it and nothing.
8,"I like this extension. I've used it for years. I really enjoyed their use of localized voices that didn't rely on AI. Nowadays, however, any time I want to use the extension, I have to give it extra permissions-- this didn't used to be the case. Once I give it permission (to use google voices), the extension works for the rest of my session, in-browser. Unfortunately, every time I close out of the browser, I have to do it all over again."
9,it always works perfectly.. but since some days ago just stop working at all
10,"Not bad, but it's bothersome to constantly switch languages manually. I wish there were preferred voices settings for each language. Currently you can only pick full auto (which picks not the best voices), or single manual voice. So every time I'm running text-to-speech in a different language, I have to manually pick the right voice."
11,Has the Read Aloud extension crashed?? Its not working even after reinstalling!
12,Disable and then re-enable it in Manage Extensions; don't uninstall it. It started working again that way.
13,"terrible, the OS voices now don't work"
14,"This is exactly what I wanted! A way to proof read by listening to what I have written to see if I missed something! Usually, with just reading in my head, I fix issues in my head and don't actually mentally process them because I know what I intended to say! Now I can hear the obvious issue! Thank you devs!!!"
15,"Does not work. When I hit play it scrolls all the way to the end and it reads the last 2 sentences. Does not start from the beginning. Upon hitting play, it glitches and automatically scrolls all the way to the bottom."
16,"Default robot voices works for swedish. Absolutely nothing else works. It just hangs. Edge already supports the robot voice, so this app literally serves no purpose except to waste your time with the hope of getting additional voice support only to instead waste your time."
17,"Good extension. It does what it is supposed to do but, IMHO, has a huge improvement opportunity. When a line ends without a period, for example, on a title or in bullet points, the reader continues reading the next line as if it were part of the previous one."
18,"love this so much! voice speed, volume, voice, and pitch are adjustable. now, this only works for main texts and hasn't shown to read side texts like the little ""table of contents"" box that sits on the top of your screen. but since that is not what I need it for, it works better than any other site I've used as it doesn't require a subscription to use its full features!"
19,really useful. You can select a specific text to read out loud
20,"Whenever I have to read a paper for college, I have this read it aloud to me and I follow along with it, helps me stay focused. It's not a perfect extension, but it does what it says it does."
21,It's kinda janky sometimes like if I close the little menu when its reading it continues reading but stops when I open it again. The voices are robotic but you can change them if you look into the settings. Overall it's not that bad and you can def just ignore the faults and get through with using it.
22,Works well enough and does nearly exactly what I want it to do. Contains volume and speed controls to modulate for comprehension speed. Stutters slightly at the end of each line. Would also be nice if the speed cap were increased.
23,"I really like this extension, it's very useful to me. Since presenting Supertonic voices, I install them but every time I close chrome I get Microsoft Zira's default voice and Supertonic is uninstalled."
24,Please fix not selecting smaller sentences in web pages issue..I used this for so long. now i cant get used to a new voice😢😢  It usually did that on some websites before but now more websites are not selecting smaller sentences and skips over to large paragraphs..(I use this on android phone kiwi browser .  In pc I can manually select all the text) And does this work on safari?
25,"this one is great. as someone who is always busy but also lazy, having my entertainment and work occur at the same time, although sometimes messes with my focus and causes me to spend more time, allows me to be active non stop-basically all day. so this extension is truly welcomed, especially its feature of not needing me to specify which texts to read in a tab and lets me skips sentences to quickly get to a certain point, those are my first time seeing them in the same extension, its awesome just how it has everything i ever want in a convert text to speech extension (mostly the former). i almost feel guilty using it for free, so i left this review here."
26,"works well, good controls and compatability with voice enginers including API keys for providers, also works well with google play books and much more! I wish there was a mobile version of this plugin too."
27,Disable and then re-enable it in Manage Extensions; don't uninstall it. It started working again that way.
28,really useful. You can select a specific text to read out loud
29,This was the best for me for a long time. But now it refuses to work at all. I have dyslexia and I HAVE to have something. So now I have to use something else. It was nice while it lasted!
30,A day or two ago it just stopped working out of no-where. I tried reinstalling it and nothing.
31,it always works perfectly.. but since some days ago just stop working at all
32,ITS SO GOOD!!! IT DOESNT STOP SPOTIFY FROM PLAYING EITHER YAY
33,not working properly
34,Been using it for years now it helps me so much since I'm not very good at reading This helps me so much thanks
35,"I tried several readers, and this is by far the best.  Hate the ""natural voices"" on all readers, which is good for this one as their default is among the few that work at 2x speed.  Until last week or so it was worth a shining 5 star review, which I had been procrastinating on.  Inexplicably, it recently started reading ""dot"" and ""comma"" which I very much do not care for and cannot find a way to remove from playback.  Would love that to go back to being short pauses, but the settings menu is lacking any such toggles"
36,"it works, it's open source, it has no ads or unwanted functionality, what is not to like?"
37,"Whenever I have to read a paper for college, I have this read it aloud to me and I follow along with it, helps me stay focused. It's not a perfect extension, but it does what it says it does."
38,"Does not work. When I hit play it scrolls all the way to the end and it reads the last 2 sentences. Does not start from the beginning. Upon hitting play, it glitches and automatically scrolls all the way to the bottom."
39,It would be even better if there were a download function。
40,"love this so much! voice speed, volume, voice, and pitch are adjustable. now, this only works for main texts and hasn't shown to read side texts like the little ""table of contents"" box that sits on the top of your screen. but since that is not what I need it for, it works better than any other site I've used as it doesn't require a subscription to use its full features!"
41,Works great for my uses and has a Google Docs plugin!
42,"I like this extension. I've used it for years. I really enjoyed their use of localized voices that didn't rely on AI. Nowadays, however, any time I want to use the extension, I have to give it extra permissions-- this didn't used to be the case. Once I give it permission (to use google voices), the extension works for the rest of my session, in-browser. Unfortunately, every time I close out of the browser, I have to do it all over again."
43,"Ms. AI, do you have any questions for me? You told your company that your Read Aloud has bugs and I need to remove and reinstall it to speak Cantonese. One of them is troubleshooting."
44,Doesn't work. Requires paid google voice for those options and using the generic read aloud voice doesn't work with 'Unrecognized Language En'
45,worked good for about a week and now won't work at all
46,"Not bad, but it's bothersome to constantly switch languages manually. I wish there were preferred voices settings for each language. Currently you can only pick full auto (which picks not the best voices), or single manual voice. So every time I'm running text-to-speech in a different language, I have to manually pick the right voice."
47,It's kinda janky sometimes like if I close the little menu when its reading it continues reading but stops when I open it again. The voices are robotic but you can change them if you look into the settings. Overall it's not that bad and you can def just ignore the faults and get through with using it.
48,Have eased my pain a ton
49,"Works very well, I like to use the MacOS English United States Samantha Voice."
50,Works well enough and does nearly exactly what I want it to do. Contains volume and speed controls to modulate for comprehension speed. Stutters slightly at the end of each line. Would also be nice if the speed cap were increased.
51,"It's free, it works, and I don't have to wait for the time to be able to use it again."
52,"Good extension. It does what it is supposed to do but, IMHO, has a huge improvement opportunity. When a line ends without a period, for example, on a title or in bullet points, the reader continues reading the next line as if it were part of the previous one."
53,"Default robot voices works for swedish. Absolutely nothing else works. It just hangs. Edge already supports the robot voice, so this app literally serves no purpose except to waste your time with the hope of getting additional voice support only to instead waste your time."
54,"I've been using this extension for years and its even better when using Piper voices. If there was one feature i would add, it would be a pronunciation editor. Sometimes, no matter what voice you choose, it gets tripped up on some words and pronounces them very wrong. I would love to be able to set up a rule to replace chosen words with an alternative so it would at least sound correct. Other than that, I totally recommend this extension for anyone and everyone. Especially those that are like me and will always take the free option. Especially if its open-source."
55,"works well, good controls and compatability with voice enginers including API keys for providers, also works well with google play books and much more! I wish there was a mobile version of this plugin too."
56,"I really like this extension, it's very useful to me. Since presenting Supertonic voices, I install them but every time I close chrome I get Microsoft Zira's default voice and Supertonic is uninstalled."
57,I can't believe I found something that runs so well and I don't have to pay an exorbitant amount for. I initially downloaded this to help my adhd brain read about my hobbies but it's definitely going to be a huge help for classes and work too.
58,It's really bad.  It struggles to open and work.  It is SO slow an un-responsive.
59,"This is a really nice extension, it's got lots of voices which is nice."
60,how do you pause the voice?
61,works well
62,works like a charm even in difficult wordings
63,"I have used this extension for four or five years now, and it is such a lifesaver! it works on websites, pdfs, etc., you can change the voice, change the speed, pause it, stop it, skip ahead on content, go back to content you may have missed.  it's completely free, yet works better and has more options than any other text-to-speech service or extension i've ever found. genuinely i don't know what i would do w/o this extension, it's the only way i got thru undergrad reading, and it's now the only way i'm getting thru law school reading. i'm so grateful!!"
64,"the text to speech is jarring and for some reason I cant change the voice, but other than that, it works."
65,pdf reader isnt working
66,"So good for a free extension. Great selection of voices, too"
67,"I'm happy with this reader, but please add options to adjust the reading speed and voice pitch."
68,It reads stuff marked with aria-hidden and skips over plain text not marked as hidden.
69,The only bad thing about this is that the voices are too robotic and not very human. When these guys are reading a story back to me I would like to hear the human in their voices as well as emotion.
70,Worked fine in Win 10. Switched to Win 11 and now it consistently skips the first few words of each paragraph. Tried it in several browsers and it performed the same... skipping the first few words. Pretty much unusable for me now. Looking for other alternatives.
71,
72,"cannot read from different part of the big group of text, like other extensions can"
73,"I use Read Aloud to proof read texts in multiple languages. Combining the strength of the written words and the FREE voices to hear if I made mistakes that were not caught by the spellchecker. I use it predominantly on Grammerly web app. But it also helps read any other website. It's best asset is that Read Aloud lets you add FREE voices, as well as the usual Microsoft, Amazon, and Google voices in many languages."
74,so good! a tip u should use is to highlight the text u wanna read instead of relying on it auto read to read the whole page becuase sometimes that can be unreliable.
75,"Used to work fine, but now when reading YouTube comments section, skips/doesn't read a lot of comments"
76,"Very useful, but not perfect. Often detects the wrong language, and missing settings for default languages. Also buggy reading of acronyms, which often make it hard to understand. Example: ""PHP 8.5"". In my contexts that will always be a specific version of the programming language ""PHP"". But it is read as ""8 Philippine pesos and 50 centavos"""
77,"Works great, but the included voices are pretty robotic and have low overall voice quality."
